Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: False
compiling the model... (takes a ~minute)
iter 1590: loss 4.2240, time 3594.45ms, time_process 3592.54ms, time_perf 3594.45ms, mfu 37.43%
iter 1600: loss 3.8441, time 3597.30ms, time_process 3597.18ms, time_perf 3597.30ms, mfu 37.43%
iter 1610: loss 3.9417, time 3592.28ms, time_process 3590.96ms, time_perf 3592.28ms, mfu 37.43%
iter 1620: loss 3.8743, time 3593.78ms, time_process 3593.22ms, time_perf 3593.78ms, mfu 37.44%
iter 1630: loss 3.9864, time 3599.05ms, time_process 3598.09ms, time_perf 3599.05ms, mfu 37.44%
iter 1640: loss 3.8015, time 3594.00ms, time_process 3592.69ms, time_perf 3594.00ms, mfu 37.44%
iter 1650: loss 3.8475, time 3596.78ms, time_process 3594.68ms, time_perf 3596.78ms, mfu 37.44%
iter 1660: loss 3.9338, time 3592.15ms, time_process 3591.63ms, time_perf 3592.15ms, mfu 37.44%
iter 1670: loss 3.8182, time 3595.24ms, time_process 3594.13ms, time_perf 3595.24ms, mfu 37.44%
iter 1680: loss 3.9607, time 3593.50ms, time_process 3591.18ms, time_perf 3593.50ms, mfu 37.45%
iter 1690: loss 3.9698, time 3596.55ms, time_process 3595.39ms, time_perf 3596.55ms, mfu 37.45%
iter 1700: loss 3.7921, time 3596.54ms, time_process 3596.20ms, time_perf 3596.54ms, mfu 37.45%
iter 1710: loss 3.9046, time 3595.06ms, time_process 3594.62ms, time_perf 3595.06ms, mfu 37.45%
iter 1720: loss 4.0110, time 3593.99ms, time_process 3592.43ms, time_perf 3593.99ms, mfu 37.45%
iter 1730: loss 3.5441, time 3595.82ms, time_process 3594.18ms, time_perf 3595.82ms, mfu 37.45%
iter 1740: loss 3.7984, time 3593.97ms, time_process 3594.75ms, time_perf 3593.97ms, mfu 37.45%
iter 1750: loss 4.0275, time 3590.49ms, time_process 3589.92ms, time_perf 3590.48ms, mfu 37.46%
iter 1760: loss 3.7165, time 3593.24ms, time_process 3593.20ms, time_perf 3593.24ms, mfu 37.46%
iter 1770: loss 3.7688, time 3595.71ms, time_process 3596.15ms, time_perf 3595.71ms, mfu 37.46%
iter 1780: loss 3.9322, time 3595.00ms, time_process 3593.88ms, time_perf 3595.00ms, mfu 37.46%
iter 1790: loss 3.7957, time 3599.01ms, time_process 3597.60ms, time_perf 3599.01ms, mfu 37.45%
iter 1800: loss 3.8342, time 3592.97ms, time_process 3591.94ms, time_perf 3592.97ms, mfu 37.46%
iter 1810: loss 3.9218, time 3596.66ms, time_process 3594.94ms, time_perf 3596.66ms, mfu 37.45%
iter 1820: loss 3.8968, time 3595.01ms, time_process 3595.01ms, time_perf 3595.01ms, mfu 37.45%
iter 1830: loss 3.8946, time 3596.44ms, time_process 3596.54ms, time_perf 3596.44ms, mfu 37.45%
iter 1840: loss 3.7782, time 3600.39ms, time_process 3599.29ms, time_perf 3600.39ms, mfu 37.45%
iter 1850: loss 3.7776, time 3596.28ms, time_process 3596.18ms, time_perf 3596.28ms, mfu 37.45%
iter 1860: loss 3.9059, time 3599.50ms, time_process 3597.97ms, time_perf 3599.50ms, mfu 37.44%
iter 1870: loss 3.8129, time 3599.72ms, time_process 3599.66ms, time_perf 3599.72ms, mfu 37.44%
iter 1880: loss 3.6614, time 3605.71ms, time_process 3603.82ms, time_perf 3605.71ms, mfu 37.43%
iter 1890: loss 4.0505, time 3605.70ms, time_process 3604.75ms, time_perf 3605.70ms, mfu 37.42%
iter 1900: loss 3.7280, time 3608.21ms, time_process 3607.81ms, time_perf 3608.21ms, mfu 37.41%
iter 1910: loss 3.6663, time 3609.91ms, time_process 3610.13ms, time_perf 3609.91ms, mfu 37.40%
iter 1920: loss 3.7725, time 3609.31ms, time_process 3609.06ms, time_perf 3609.31ms, mfu 37.39%
iter 1930: loss 4.0467, time 3610.55ms, time_process 3610.99ms, time_perf 3610.55ms, mfu 37.38%
iter 1940: loss 3.9816, time 3612.35ms, time_process 3611.77ms, time_perf 3612.35ms, mfu 37.37%
iter 1950: loss 3.7139, time 3610.98ms, time_process 3611.04ms, time_perf 3610.98ms, mfu 37.36%
iter 1960: loss 3.8025, time 3611.26ms, time_process 3610.98ms, time_perf 3611.26ms, mfu 37.36%
iter 1970: loss 3.9015, time 3611.29ms, time_process 3609.51ms, time_perf 3611.29ms, mfu 37.35%
iter 1980: loss 3.7660, time 3612.48ms, time_process 3598.00ms, time_perf 3612.48ms, mfu 37.34%
iter 1990: loss 3.8145, time 3615.16ms, time_process 3596.15ms, time_perf 3615.16ms, mfu 37.33%
step 2000: train loss 3.7920, val loss 3.7975
saving checkpoint to out
iter 2000: loss 3.8635, time 16853.57ms, time_process 16087.74ms, time_perf 16853.58ms, mfu 34.40%
iter 2010: loss 3.5675, time 3603.94ms, time_process 3604.37ms, time_perf 3603.94ms, mfu 34.70%
iter 2020: loss 3.6926, time 3615.55ms, time_process 3615.83ms, time_perf 3615.55ms, mfu 34.95%
iter 2030: loss 3.8964, time 3613.73ms, time_process 3614.01ms, time_perf 3613.73ms, mfu 35.18%
iter 2040: loss 3.7159, time 3615.76ms, time_process 3615.93ms, time_perf 3615.76ms, mfu 35.39%
iter 2050: loss 3.9372, time 3616.24ms, time_process 3615.36ms, time_perf 3616.24ms, mfu 35.57%
iter 2060: loss 3.7637, time 3616.20ms, time_process 3616.24ms, time_perf 3616.20ms, mfu 35.74%
iter 2070: loss 3.6593, time 3616.99ms, time_process 3617.49ms, time_perf 3616.99ms, mfu 35.89%
iter 2080: loss 3.5522, time 3623.15ms, time_process 3622.78ms, time_perf 3623.16ms, mfu 36.02%
iter 2090: loss 3.5806, time 3614.29ms, time_process 3614.67ms, time_perf 3614.29ms, mfu 36.14%
iter 2100: loss 3.6025, time 3617.97ms, time_process 3617.67ms, time_perf 3617.97ms, mfu 36.25%
iter 2110: loss 3.6813, time 3617.01ms, time_process 3617.37ms, time_perf 3617.01ms, mfu 36.35%
iter 2120: loss 3.7526, time 3614.56ms, time_process 3614.68ms, time_perf 3614.56ms, mfu 36.44%
iter 2130: loss 3.8222, time 3616.35ms, time_process 3616.86ms, time_perf 3616.35ms, mfu 36.52%
iter 2140: loss 3.8508, time 3614.99ms, time_process 3614.39ms, time_perf 3614.99ms, mfu 36.59%
iter 2150: loss 3.6913, time 3612.89ms, time_process 3612.69ms, time_perf 3612.89ms, mfu 36.66%
iter 2160: loss 3.8557, time 3614.30ms, time_process 3614.36ms, time_perf 3614.31ms, mfu 36.72%
iter 2170: loss 3.7553, time 3614.82ms, time_process 3614.96ms, time_perf 3614.82ms, mfu 36.77%
