Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
iter 1050: loss 4.4433, time 3002.07ms, time_process 3002.89ms, time_perf 3002.07ms, mfu 42.65%
iter 1060: loss 4.4010, time 3004.34ms, time_process 3005.25ms, time_perf 3004.34ms, mfu 42.86%
iter 1070: loss 4.3319, time 3002.48ms, time_process 3003.32ms, time_perf 3002.48ms, mfu 43.06%
iter 1080: loss 4.2212, time 2999.51ms, time_process 3000.45ms, time_perf 2999.51ms, mfu 43.25%
iter 1090: loss 4.0594, time 3005.43ms, time_process 3006.31ms, time_perf 3005.43ms, mfu 43.40%
iter 1100: loss 4.2026, time 3000.76ms, time_process 3001.73ms, time_perf 3000.76ms, mfu 43.55%
iter 1110: loss 4.3398, time 3003.70ms, time_process 3004.63ms, time_perf 3003.70ms, mfu 43.68%
iter 1120: loss 4.0488, time 3003.35ms, time_process 3004.14ms, time_perf 3003.35ms, mfu 43.79%
iter 1130: loss 4.1342, time 3005.97ms, time_process 3006.93ms, time_perf 3005.97ms, mfu 43.89%
iter 1140: loss 4.2038, time 2999.95ms, time_process 3000.79ms, time_perf 2999.95ms, mfu 43.99%
iter 1150: loss 4.0645, time 3007.13ms, time_process 3008.05ms, time_perf 3007.13ms, mfu 44.07%
iter 1160: loss 4.1444, time 3006.32ms, time_process 3007.17ms, time_perf 3006.32ms, mfu 44.14%
iter 1170: loss 4.2182, time 3005.12ms, time_process 3005.98ms, time_perf 3005.12ms, mfu 44.21%
iter 1180: loss 4.2435, time 3007.28ms, time_process 3008.20ms, time_perf 3007.28ms, mfu 44.27%
iter 1190: loss 4.2447, time 3006.74ms, time_process 3007.65ms, time_perf 3006.74ms, mfu 44.32%
iter 1200: loss 4.2279, time 3003.54ms, time_process 3004.48ms, time_perf 3003.54ms, mfu 44.37%
iter 1210: loss 4.3092, time 3002.33ms, time_process 3003.18ms, time_perf 3002.33ms, mfu 44.42%
iter 1220: loss 4.1948, time 3008.31ms, time_process 3009.14ms, time_perf 3008.31ms, mfu 44.45%
iter 1230: loss 4.1014, time 3003.74ms, time_process 3004.61ms, time_perf 3003.74ms, mfu 44.49%
iter 1240: loss 4.1406, time 3007.14ms, time_process 3008.10ms, time_perf 3007.13ms, mfu 44.52%
iter 1250: loss 3.9736, time 3003.97ms, time_process 3004.93ms, time_perf 3003.97ms, mfu 44.55%
iter 1260: loss 4.4356, time 3001.71ms, time_process 3002.58ms, time_perf 3001.71ms, mfu 44.58%
iter 1270: loss 4.1544, time 3008.68ms, time_process 3009.57ms, time_perf 3008.68ms, mfu 44.60%
iter 1280: loss 4.2977, time 3008.39ms, time_process 3009.32ms, time_perf 3008.39ms, mfu 44.62%
iter 1290: loss 3.9569, time 3006.82ms, time_process 3007.79ms, time_perf 3006.82ms, mfu 44.63%
iter 1300: loss 4.1358, time 3008.35ms, time_process 3009.33ms, time_perf 3008.35ms, mfu 44.65%
iter 1310: loss 4.2253, time 3005.25ms, time_process 3006.19ms, time_perf 3005.25ms, mfu 44.66%
iter 1320: loss 4.2043, time 3004.49ms, time_process 3005.41ms, time_perf 3004.49ms, mfu 44.68%
iter 1330: loss 4.1752, time 3005.37ms, time_process 3006.29ms, time_perf 3005.37ms, mfu 44.69%
iter 1340: loss 3.9677, time 3005.03ms, time_process 3005.84ms, time_perf 3005.03ms, mfu 44.70%
iter 1350: loss 3.7753, time 3009.09ms, time_process 3009.96ms, time_perf 3009.09ms, mfu 44.71%
iter 1360: loss 4.1464, time 3002.20ms, time_process 3003.03ms, time_perf 3002.20ms, mfu 44.72%
iter 1370: loss 3.9939, time 3007.20ms, time_process 3008.17ms, time_perf 3007.20ms, mfu 44.73%
iter 1380: loss 3.9691, time 3007.09ms, time_process 3008.05ms, time_perf 3007.09ms, mfu 44.73%
iter 1390: loss 4.0524, time 3010.23ms, time_process 3011.21ms, time_perf 3010.23ms, mfu 44.73%
iter 1400: loss 3.8090, time 3006.02ms, time_process 3006.96ms, time_perf 3006.02ms, mfu 44.74%
iter 1410: loss 4.1427, time 3005.71ms, time_process 3006.47ms, time_perf 3005.71ms, mfu 44.75%
iter 1420: loss 4.1218, time 3006.88ms, time_process 3007.82ms, time_perf 3006.88ms, mfu 44.75%
iter 1430: loss 4.0297, time 3008.42ms, time_process 3009.27ms, time_perf 3008.42ms, mfu 44.75%
iter 1440: loss 4.0251, time 3002.31ms, time_process 3003.15ms, time_perf 3002.31ms, mfu 44.76%
iter 1450: loss 4.0353, time 3006.04ms, time_process 3007.01ms, time_perf 3006.04ms, mfu 44.76%
iter 1460: loss 3.8559, time 3000.48ms, time_process 3001.38ms, time_perf 3000.48ms, mfu 44.78%
iter 1470: loss 4.0245, time 3002.89ms, time_process 3003.88ms, time_perf 3002.89ms, mfu 44.78%
iter 1480: loss 4.0849, time 3003.37ms, time_process 3004.26ms, time_perf 3003.37ms, mfu 44.79%
iter 1490: loss 4.0637, time 3006.76ms, time_process 3007.70ms, time_perf 3006.76ms, mfu 44.79%
iter 1500: loss 3.9767, time 3008.01ms, time_process 3008.79ms, time_perf 3008.01ms, mfu 44.79%
iter 1510: loss 4.0169, time 3009.61ms, time_process 3010.45ms, time_perf 3009.61ms, mfu 44.78%
iter 1520: loss 4.1692, time 3008.03ms, time_process 3008.82ms, time_perf 3008.03ms, mfu 44.78%
iter 1530: loss 3.9020, time 3008.93ms, time_process 3009.67ms, time_perf 3008.93ms, mfu 44.78%
iter 1540: loss 3.9353, time 3003.81ms, time_process 3004.58ms, time_perf 3003.81ms, mfu 44.78%
iter 1550: loss 3.6957, time 3008.28ms, time_process 3009.06ms, time_perf 3008.28ms, mfu 44.78%
iter 1560: loss 4.0106, time 3003.57ms, time_process 3004.40ms, time_perf 3003.57ms, mfu 44.79%
iter 1570: loss 3.8116, time 3009.17ms, time_process 3009.97ms, time_perf 3009.17ms, mfu 44.78%
iter 1580: loss 3.9661, time 3002.49ms, time_process 3003.31ms, time_perf 3002.49ms, mfu 44.79%
iter 1590: loss 4.0422, time 3004.79ms, time_process 3005.62ms, time_perf 3004.79ms, mfu 44.79%
iter 1600: loss 3.8390, time 3008.80ms, time_process 3009.60ms, time_perf 3008.79ms, mfu 44.79%
iter 1610: loss 4.0142, time 3003.72ms, time_process 3004.56ms, time_perf 3003.73ms, mfu 44.79%
iter 1620: loss 4.0638, time 3002.00ms, time_process 3002.82ms, time_perf 3002.00ms, mfu 44.80%
iter 1630: loss 4.0965, time 3006.56ms, time_process 3007.40ms, time_perf 3006.56ms, mfu 44.80%
iter 1640: loss 4.0573, time 3004.70ms, time_process 3005.53ms, time_perf 3004.71ms, mfu 44.80%
iter 1650: loss 3.8944, time 3006.14ms, time_process 3006.96ms, time_perf 3006.14ms, mfu 44.80%
iter 1660: loss 3.8428, time 3008.83ms, time_process 3009.65ms, time_perf 3008.83ms, mfu 44.79%
iter 1670: loss 3.7949, time 3007.59ms, time_process 3008.42ms, time_perf 3007.60ms, mfu 44.79%
iter 1680: loss 3.9001, time 3004.51ms, time_process 3005.31ms, time_perf 3004.51ms, mfu 44.80%
iter 1690: loss 3.8436, time 3006.74ms, time_process 3007.54ms, time_perf 3006.74ms, mfu 44.79%
iter 1700: loss 3.7958, time 3005.79ms, time_process 3006.56ms, time_perf 3005.79ms, mfu 44.79%
iter 1710: loss 3.8627, time 3006.97ms, time_process 3007.78ms, time_perf 3006.97ms, mfu 44.79%
iter 1720: loss 3.8157, time 3003.31ms, time_process 3004.11ms, time_perf 3003.31ms, mfu 44.80%
iter 1730: loss 3.9625, time 3005.08ms, time_process 3007.36ms, time_perf 3005.08ms, mfu 44.80%
iter 1740: loss 3.9530, time 3006.58ms, time_process 3007.29ms, time_perf 3006.58ms, mfu 44.80%
iter 1750: loss 3.9385, time 3006.95ms, time_process 3007.79ms, time_perf 3006.95ms, mfu 44.80%
iter 1760: loss 3.8491, time 3002.18ms, time_process 3002.99ms, time_perf 3002.18ms, mfu 44.80%
iter 1770: loss 3.8699, time 3007.61ms, time_process 3008.32ms, time_perf 3007.62ms, mfu 44.80%
iter 1780: loss 3.7910, time 3004.65ms, time_process 3005.39ms, time_perf 3004.65ms, mfu 44.80%
iter 1790: loss 3.8041, time 3004.80ms, time_process 3005.64ms, time_perf 3004.80ms, mfu 44.80%
iter 1800: loss 3.7305, time 2999.16ms, time_process 2999.97ms, time_perf 2999.16ms, mfu 44.81%
iter 1810: loss 3.7979, time 3008.58ms, time_process 3009.41ms, time_perf 3008.58ms, mfu 44.81%
iter 1820: loss 3.8185, time 3005.42ms, time_process 3006.18ms, time_perf 3005.42ms, mfu 44.81%
iter 1830: loss 3.9762, time 3005.64ms, time_process 3006.47ms, time_perf 3005.64ms, mfu 44.81%
iter 1840: loss 3.9919, time 2998.56ms, time_process 2999.37ms, time_perf 2998.57ms, mfu 44.82%
iter 1850: loss 3.8466, time 3002.93ms, time_process 3003.75ms, time_perf 3002.93ms, mfu 44.82%
iter 1860: loss 3.9230, time 3005.20ms, time_process 3006.02ms, time_perf 3005.20ms, mfu 44.82%
iter 1870: loss 3.6238, time 3004.73ms, time_process 3005.56ms, time_perf 3004.73ms, mfu 44.82%
iter 1880: loss 3.6541, time 3006.07ms, time_process 3006.87ms, time_perf 3006.07ms, mfu 44.82%
iter 1890: loss 3.9449, time 3003.21ms, time_process 3004.03ms, time_perf 3003.21ms, mfu 44.82%
iter 1900: loss 3.9581, time 3002.99ms, time_process 3003.81ms, time_perf 3003.00ms, mfu 44.82%
iter 1910: loss 3.7459, time 3002.96ms, time_process 3003.74ms, time_perf 3002.96ms, mfu 44.82%
iter 1920: loss 3.6471, time 3005.02ms, time_process 3005.75ms, time_perf 3005.02ms, mfu 44.82%
iter 1930: loss 3.6409, time 3002.74ms, time_process 3003.49ms, time_perf 3002.75ms, mfu 44.82%
iter 1940: loss 3.8214, time 3003.60ms, time_process 3004.42ms, time_perf 3003.61ms, mfu 44.82%
iter 1950: loss 3.8031, time 3003.97ms, time_process 3004.78ms, time_perf 3003.98ms, mfu 44.82%
iter 1960: loss 3.9134, time 3001.87ms, time_process 3002.63ms, time_perf 3001.87ms, mfu 44.83%
iter 1970: loss 3.6321, time 3001.82ms, time_process 3002.56ms, time_perf 3001.82ms, mfu 44.83%
iter 1980: loss 3.7902, time 3005.18ms, time_process 3005.99ms, time_perf 3005.19ms, mfu 44.83%
iter 1990: loss 3.6708, time 3003.00ms, time_process 3003.71ms, time_perf 3003.00ms, mfu 44.83%
step 2000: train loss 3.7874, val loss 3.7766
saving checkpoint to out
iter 2000: loss 3.8555, time 18983.43ms, time_process 17452.42ms, time_perf 18983.43ms, mfu 41.06%
iter 2010: loss 3.8367, time 3000.10ms, time_process 3000.96ms, time_perf 3000.10ms, mfu 41.44%
iter 2020: loss 3.7400, time 3002.47ms, time_process 3003.36ms, time_perf 3002.47ms, mfu 41.78%
iter 2030: loss 3.8761, time 3002.01ms, time_process 3002.90ms, time_perf 3002.01ms, mfu 42.09%
iter 2040: loss 3.6819, time 3005.15ms, time_process 3005.66ms, time_perf 3005.15ms, mfu 42.36%
iter 2050: loss 3.8723, time 3003.99ms, time_process 3004.59ms, time_perf 3003.99ms, mfu 42.61%
iter 2060: loss 3.4513, time 3004.57ms, time_process 3005.22ms, time_perf 3004.57ms, mfu 42.83%
iter 2070: loss 3.7951, time 3003.77ms, time_process 3004.41ms, time_perf 3003.77ms, mfu 43.03%
iter 2080: loss 3.7678, time 3000.39ms, time_process 3000.95ms, time_perf 3000.39ms, mfu 43.21%
iter 2090: loss 3.7152, time 3001.71ms, time_process 3002.41ms, time_perf 3001.71ms, mfu 43.38%
iter 2100: loss 3.8402, time 3002.05ms, time_process 3002.61ms, time_perf 3002.05ms, mfu 43.53%
iter 2110: loss 3.7147, time 3003.19ms, time_process 3003.78ms, time_perf 3003.19ms, mfu 43.66%
iter 2120: loss 3.5500, time 3005.66ms, time_process 3006.27ms, time_perf 3005.66ms, mfu 43.77%
iter 2130: loss 3.8125, time 3001.52ms, time_process 3002.02ms, time_perf 3001.52ms, mfu 43.88%
iter 2140: loss 3.6498, time 3007.49ms, time_process 3008.20ms, time_perf 3007.49ms, mfu 43.97%
iter 2150: loss 3.6817, time 3004.09ms, time_process 3005.03ms, time_perf 3004.09ms, mfu 44.06%
iter 2160: loss 3.6201, time 3001.02ms, time_process 3001.95ms, time_perf 3001.02ms, mfu 44.14%
iter 2170: loss 3.6231, time 3003.94ms, time_process 3004.87ms, time_perf 3003.94ms, mfu 44.21%
iter 2180: loss 3.8063, time 2998.52ms, time_process 2999.37ms, time_perf 2998.52ms, mfu 44.28%
